,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000000893,1039,841,953,1094,1058,1421,1590,1064,1077
ENSRNOG00000000894,1633,1618,1035,600,476,605,888,468,436
ENSRNOG00000000895,1986,1839,1820,983,834,1294,1039,786,981
ENSRNOG00000000896,8,0,1,2,3,1,3,5,2
ENSRNOG00000000897,0,1,1,0,1,0,1,2,3
ENSRNOG00000000900,187,114,123,207,117,148,252,156,143
ENSRNOG00000000901,334,396,331,511,440,628,686,608,594
ENSRNOG00000000902,1823,1531,1343,2876,2327,2715,2973,2485,3079
ENSRNOG00000000903,320,285,264,462,428,454,742,407,442
ENSRNOG00000000904,0,0,0,0,0,1,0,0,0
ENSRNOG00000000905,2,6,2,0,0,0,0,1,0
ENSRNOG00000000906,52,26,36,34,9,9,21,20,11
ENSRNOG00000000907,3,1,1,11,3,10,10,7,3
ENSRNOG00000000909,724,831,672,1118,1209,1325,1251,1034,1206
ENSRNOG00000000913,34,84,45,92,67,77,214,93,86
ENSRNOG00000000916,5,1,0,0,0,0,0,0,2
ENSRNOG00000000917,76,86,78,70,68,64,66,75,61
ENSRNOG00000000918,990,783,619,881,764,757,1171,784,621
ENSRNOG00000000920,175,159,171,97,47,79,58,39,34
ENSRNOG00000000921,2182,1798,1825,2477,2013,2518,3147,1925,2221
ENSRNOG00000000922,67,65,45,136,147,144,252,142,119
ENSRNOG00000000923,2725,2423,2480,3872,4058,4662,5886,4007,4247
ENSRNOG00000000924,731,963,909,3146,2605,3538,3715,2245,2650
ENSRNOG00000000925,91,94,87,691,405,644,823,512,466
ENSRNOG00000000926,646,762,547,606,622,659,803,566,514
ENSRNOG00000000931,2766,2033,2279,2529,1907,2343,3221,1691,1895
ENSRNOG00000000934,0,0,0,0,0,0,0,0,0
ENSRNOG00000000936,96,91,68,291,232,333,662,379,384
ENSRNOG00000000937,199,185,143,96,40,63,71,49,54
ENSRNOG00000000938,5068,3704,3902,6758,5660,6546,8391,5642,5988
ENSRNOG00000000940,5872,4799,3626,2492,1396,1511,1961,1119,1134
ENSRNOG00000000942,784,617,651,818,568,719,1073,538,585
ENSRNOG00000000943,2,2,1,2,0,0,1,2,0
ENSRNOG00000000952,0,0,0,0,0,0,0,0,0
ENSRNOG00000000954,1532,1177,1234,1571,1329,1681,2012,1259,1399
ENSRNOG00000000955,694,1045,731,222,207,233,283,213,194
ENSRNOG00000000956,113,53,72,43,30,27,39,15,23
ENSRNOG00000000957,4447,2527,2814,5864,4330,4589,7199,4078,4455
ENSRNOG00000000958,1,3,4,10,4,3,2,4,6
ENSRNOG00000000961,2,1,0,1,0,1,5,1,0
ENSRNOG00000000962,271,372,245,217,265,330,406,321,291
ENSRNOG00000000963,16,15,26,3,7,1,6,5,9
ENSRNOG00000000964,12,9,5,8,7,13,7,5,6
ENSRNOG00000000967,1120,793,862,836,688,897,1062,729,791
ENSRNOG00000000968,1325,1436,1263,1389,1472,1841,2130,1535,1378
ENSRNOG00000000969,0,0,1,4,0,1,0,2,0
ENSRNOG00000000973,2,0,0,0,0,0,1,1,0
ENSRNOG00000000974,312,402,242,222,307,286,398,278,236
ENSRNOG00000000975,384,318,277,549,495,570,799,493,533
ENSRNOG00000000977,240,115,139,316,301,396,756,327,389
ENSRNOG00000000978,0,0,0,0,0,0,0,0,0
ENSRNOG00000000979,73,71,52,131,124,134,203,168,112
ENSRNOG00000000981,9132,6423,3953,2178,1338,790,1645,652,541
ENSRNOG00000000983,1177,682,896,847,614,743,570,598,571
ENSRNOG00000000985,887,659,711,1063,1142,1245,1722,1010,938
ENSRNOG00000000986,2,0,3,4,4,9,4,4,1
ENSRNOG00000000987,345,428,258,393,434,520,524,389,382
ENSRNOG00000000988,1599,1382,1405,1381,1370,1472,2129,1235,1212
ENSRNOG00000000989,1876,1229,1458,1325,1223,1489,1886,1309,1228
ENSRNOG00000000990,1985,1644,1483,2346,1978,2419,3254,2191,2163
ENSRNOG00000000991,1317,945,1119,5148,4242,5473,8469,4840,5013
ENSRNOG00000000993,4,2,1,2,2,0,0,3,1
ENSRNOG00000000994,21,17,18,112,95,85,137,79,79
ENSRNOG00000000996,1042,1056,881,1703,1813,1953,2591,1725,1629
ENSRNOG00000000999,1795,1417,1675,2222,2083,2994,2949,2061,2624
ENSRNOG00000001001,0,0,0,0,0,1,0,0,0
ENSRNOG00000001003,659,823,723,762,726,838,1034,725,780
ENSRNOG00000001004,5247,7544,6354,3631,2977,4682,5025,2912,3849
ENSRNOG00000001005,449,950,622,104,76,150,180,116,140
ENSRNOG00000001006,337,178,240,295,157,166,258,173,76
ENSRNOG00000001007,483,297,297,177,266,296,294,216,287
ENSRNOG00000001009,1939,1459,1471,1323,1262,1422,1867,1284,1139
ENSRNOG00000001010,1678,827,1318,1217,950,1577,1638,961,1316
ENSRNOG00000001011,0,2,0,1,1,5,1,1,1
ENSRNOG00000001017,1,1,0,7,2,7,4,0,2
ENSRNOG00000001027,0,0,0,0,0,0,0,0,0
ENSRNOG00000001030,10951,11654,12686,7340,21706,32151,13191,17991,27423
ENSRNOG00000001031,1,1,0,0,0,0,0,0,1
ENSRNOG00000001032,990,929,789,1089,1082,1028,1546,965,935
ENSRNOG00000001033,687,695,724,838,1079,1140,1098,974,942
ENSRNOG00000001034,676,572,527,860,771,957,1076,736,757
ENSRNOG00000001035,118,170,140,118,144,160,164,176,144
ENSRNOG00000001036,221,40,55,18,9,4,14,13,11
ENSRNOG00000001037,158,136,105,254,282,349,457,291,258
ENSRNOG00000001039,630,612,604,868,862,938,1079,863,830
ENSRNOG00000001040,685,405,332,328,381,409,598,280,331
ENSRNOG00000001043,219,302,228,418,406,530,714,414,459
ENSRNOG00000001044,3332,1858,2181,1592,1649,1900,2501,1511,1741
ENSRNOG00000001047,440,731,520,778,913,1137,1227,751,829
ENSRNOG00000001048,300,65,68,83,14,30,23,22,37
ENSRNOG00000001049,32365,22175,27521,32059,29307,33483,31921,26750,29830
ENSRNOG00000001050,1366,1257,989,1189,1274,1326,1873,1261,1087
ENSRNOG00000001052,241,356,270,349,369,514,364,392,364
ENSRNOG00000001053,3348,3218,2952,4294,3816,4272,5444,3791,3817
ENSRNOG00000001055,6052,6699,5188,3063,3405,4098,3827,2940,3076
ENSRNOG00000001056,737,1001,885,550,462,648,760,459,502
ENSRNOG00000001057,86,61,71,57,34,38,67,31,24
ENSRNOG00000001058,2771,2850,2467,1653,1913,2090,2295,1816,1883
ENSRNOG00000001059,532,607,454,495,482,618,736,484,442
ENSRNOG00000001060,507,475,387,572,537,630,905,594,564
ENSRNOG00000001061,209,189,159,297,218,239,454,247,255
ENSRNOG00000001062,534,913,694,526,574,834,844,596,666
ENSRNOG00000001064,1643,1854,1552,1167,1161,1426,1623,1136,1122
ENSRNOG00000001065,617,432,472,1127,690,995,1171,738,826
ENSRNOG00000001066,1,0,0,0,0,1,0,0,0
ENSRNOG00000001068,4621,4072,3874,5669,5191,6498,7539,5009,5458
ENSRNOG00000001069,1679,1128,1352,1208,1198,1333,1807,1194,1321
ENSRNOG00000001070,1959,1811,1707,2795,2498,2849,3681,2555,2716
ENSRNOG00000001071,3,0,0,1,0,0,1,0,0
ENSRNOG00000001072,87,193,148,109,103,116,176,85,119
ENSRNOG00000001073,357,208,198,121,120,148,212,144,144
ENSRNOG00000001074,150,102,88,163,180,246,303,190,197
ENSRNOG00000001079,454,289,273,380,344,395,547,333,315
ENSRNOG00000001080,682,595,467,878,1031,936,1275,953,875
ENSRNOG00000001081,97,55,72,159,154,154,302,166,147
ENSRNOG00000001082,118,178,76,110,116,151,67,82,142
ENSRNOG00000001083,817,612,773,1386,996,1381,1976,1075,1226
ENSRNOG00000001086,2306,3186,2357,1300,908,1424,1034,848,1203
ENSRNOG00000001088,121,74,98,105,124,159,220,141,154
ENSRNOG00000001090,2001,1383,1563,945,649,1011,1377,789,808
ENSRNOG00000001091,3565,2297,2220,2198,1853,2474,2701,1743,2375
ENSRNOG00000001092,5,1,1,0,0,1,1,0,3
ENSRNOG00000001094,109,151,144,35,74,66,36,64,31
ENSRNOG00000001098,935,836,749,794,687,749,1139,660,740
ENSRNOG00000001099,25,33,25,34,70,53,94,55,58
ENSRNOG00000001101,905,1162,898,930,900,1227,1297,1008,974
ENSRNOG00000001103,442,472,505,108,87,250,285,150,169
ENSRNOG00000001104,603,803,603,585,621,884,805,629,784
ENSRNOG00000001106,1003,784,791,1070,1074,1196,1813,1070,1043
ENSRNOG00000001107,52,60,54,42,50,70,74,52,59
ENSRNOG00000001108,1818,1465,1406,1059,1070,1352,1383,895,1123
ENSRNOG00000001111,4,9,13,26,16,25,51,19,28
ENSRNOG00000001113,18,22,83,0,0,0,2,0,0
ENSRNOG00000001114,810,566,617,1128,954,1118,1384,852,1004
ENSRNOG00000001115,118,70,102,16,40,17,44,27,21
ENSRNOG00000001117,18,4,5,15,9,17,8,6,10
ENSRNOG00000001120,1874,1791,1974,1526,1336,1640,1844,1231,1555
ENSRNOG00000001123,152,154,141,154,148,264,353,142,237
ENSRNOG00000001124,29,31,21,33,24,31,83,45,37
ENSRNOG00000001126,1135,1243,1238,797,966,1152,1332,967,1035
ENSRNOG00000001128,5925,6110,5643,4403,5563,5167,4681,4858,4491
ENSRNOG00000001129,207,251,212,174,166,266,290,142,194
ENSRNOG00000001130,526,571,540,371,367,454,709,335,379
ENSRNOG00000001134,83,87,44,183,239,204,350,214,197
ENSRNOG00000001135,2001,2908,2633,1477,1868,2865,2167,1983,2300
ENSRNOG00000001136,11758,9636,8504,8610,9223,8872,9942,8611,7493
ENSRNOG00000001138,143,103,100,202,162,170,288,198,177
ENSRNOG00000001139,695,693,537,1105,1102,1267,2104,1182,1160
ENSRNOG00000001141,14,41,25,1,2,15,11,7,19
ENSRNOG00000001142,3023,3510,3617,1945,2064,2576,2231,1554,2081
ENSRNOG00000001143,7,2,5,21,2,20,43,8,20
ENSRNOG00000001148,15440,11912,12899,28072,22662,25928,30773,21540,23841
ENSRNOG00000001149,4091,2781,3268,4219,3562,4163,6105,3395,3659
ENSRNOG00000001151,69,47,36,53,56,46,89,63,49
ENSRNOG00000001152,2,0,5,0,3,0,0,0,0
ENSRNOG00000001153,1,3,0,2,0,2,1,1,0
ENSRNOG00000001156,20,28,28,68,97,212,108,229,131
ENSRNOG00000001157,3,0,3,0,0,1,0,0,3
ENSRNOG00000001158,1418,1185,1429,882,1163,1567,2777,1262,1415
ENSRNOG00000001159,1,0,0,0,0,0,0,0,0
ENSRNOG00000001160,0,0,2,0,0,1,0,0,0
ENSRNOG00000001161,4512,3844,4086,5275,4716,5534,6563,4461,5073
ENSRNOG00000001162,0,0,0,0,0,0,0,0,0
ENSRNOG00000001163,147,133,141,580,584,613,1168,632,580
ENSRNOG00000001164,0,0,0,0,0,0,0,0,0
ENSRNOG00000001165,0,1,0,0,0,3,0,1,4
ENSRNOG00000001167,5,5,1,0,1,5,6,2,0
ENSRNOG00000001169,571,1190,930,451,702,2481,508,727,1450
ENSRNOG00000001170,3913,3295,3719,4663,4127,5005,5701,3875,4524
ENSRNOG00000001171,1137,1437,755,955,1295,1124,1219,1252,971
ENSRNOG00000001172,9020,8613,7591,6585,6684,8563,8708,6790,6746
ENSRNOG00000001173,372,115,168,229,161,264,415,157,253
ENSRNOG00000001174,1117,1728,1163,142,104,189,308,155,166
ENSRNOG00000001177,9785,11062,7206,5935,8636,6744,6052,7242,5880
ENSRNOG00000001178,1176,955,1058,1233,948,1281,1701,1069,1130
ENSRNOG00000001181,580,647,592,488,426,533,612,449,496
ENSRNOG00000001182,3213,2758,2069,2629,2652,2281,3332,2524,2045
ENSRNOG00000001183,7,1,5,4,0,4,1,0,0
ENSRNOG00000001184,1709,923,1308,844,808,1059,1552,744,1017
ENSRNOG00000001185,467,470,349,855,816,959,1308,848,749
ENSRNOG00000001187,13487,23520,15067,1114,4580,5334,3053,5960,2799
ENSRNOG00000001189,5014,4354,5357,2948,1743,2763,3133,1694,2145
ENSRNOG00000001190,1722,1143,1201,2564,1789,2354,3628,1838,2171
ENSRNOG00000001191,285,336,246,206,270,201,282,235,185
ENSRNOG00000001192,159,101,147,243,230,326,378,298,259
ENSRNOG00000001193,8,22,19,11,20,22,6,23,30
ENSRNOG00000001194,800,1359,1077,867,819,1143,1254,735,979
ENSRNOG00000001195,438,388,274,340,302,376,409,152,227
ENSRNOG00000001198,554,328,413,225,225,184,232,140,138
ENSRNOG00000001199,353,362,280,274,242,277,433,306,267
ENSRNOG00000001201,680,450,574,1195,1002,1226,1616,1007,1138
ENSRNOG00000001203,793,804,741,1113,1189,1214,1583,1164,1067
ENSRNOG00000001204,5527,3442,4554,5348,6286,7266,7918,5382,6272
ENSRNOG00000001205,1172,1475,1081,1049,1279,1358,1148,959,1205
ENSRNOG00000001210,699,817,606,1369,1616,1796,2174,1571,1586
ENSRNOG00000001211,13771,13722,9532,9749,12068,10150,10046,10343,8609
ENSRNOG00000001212,3,1,0,2,0,1,0,0,2
ENSRNOG00000001213,0,0,0,0,0,0,0,0,2
ENSRNOG00000001214,668,665,518,1981,923,1185,1997,1441,1361
ENSRNOG00000001215,137,161,121,119,115,111,170,133,111
ENSRNOG00000001216,3,8,10,7,32,32,63,39,35
ENSRNOG00000001217,8,1,3,39,47,51,88,32,49
ENSRNOG00000001218,0,0,0,0,0,0,0,0,0
ENSRNOG00000001219,31,180,78,2,3,2,2,4,1
ENSRNOG00000001220,0,0,0,0,0,0,0,0,0
ENSRNOG00000001222,2131,2187,1921,1924,1907,2193,2310,1661,1827
ENSRNOG00000001223,2298,2657,2411,2285,2534,3157,3322,2635,3041
ENSRNOG00000001224,23,26,13,550,326,415,488,318,478
ENSRNOG00000001225,430,472,395,438,461,561,682,489,447
ENSRNOG00000001226,4,1,3,1,2,1,5,2,0
ENSRNOG00000001227,852,594,709,705,743,786,817,576,780
ENSRNOG00000001228,1105,1293,1089,867,914,1143,1335,945,1115
ENSRNOG00000001229,462,527,477,1369,782,1539,1430,965,1621
ENSRNOG00000001232,163,357,207,286,249,307,441,284,276
ENSRNOG00000001235,3122,4387,2587,3461,3863,4681,5442,4473,4095
ENSRNOG00000001236,161,202,182,329,313,459,617,361,394
ENSRNOG00000001237,546,569,598,448,396,442,798,414,498
ENSRNOG00000001238,5641,3793,4892,2209,1358,1908,2299,1437,1526
ENSRNOG00000001239,1268,858,892,1200,924,1021,1409,848,856
ENSRNOG00000001241,3954,4871,2896,3940,4186,4971,6004,4811,4374
ENSRNOG00000001242,8,11,4,6,3,7,16,15,8
ENSRNOG00000001243,899,1024,1026,836,797,871,1176,746,796
ENSRNOG00000001245,2236,1780,1968,1182,1246,1658,1494,1169,1892
ENSRNOG00000001247,1289,1466,1137,1366,1484,2004,2462,1866,1650
ENSRNOG00000001249,841,677,1136,3103,1813,2561,4842,2486,2307
ENSRNOG00000001250,230,297,153,315,172,167,286,215,222
ENSRNOG00000001251,1,2,2,1,0,0,1,0,0
ENSRNOG00000001252,20,10,14,172,108,168,182,197,204
ENSRNOG00000001253,5187,4421,4158,6760,6389,7312,8877,6630,6479
ENSRNOG00000001254,883,595,1201,4021,1981,3608,5013,2531,3014
ENSRNOG00000001255,809,746,578,664,523,632,673,468,551
ENSRNOG00000001256,2989,3433,3259,1387,1414,1822,1629,1380,1596
ENSRNOG00000001258,401,394,337,591,457,590,599,622,560
ENSRNOG00000001259,279,375,266,79,52,97,72,59,85
ENSRNOG00000001260,47,41,38,37,40,50,62,48,43
ENSRNOG00000001261,7,1,19,3,1,6,18,1,5
ENSRNOG00000001262,0,0,0,0,0,0,0,0,0
ENSRNOG00000001265,138,131,133,210,261,305,464,303,262
ENSRNOG00000001269,3047,2460,2690,3800,3641,4275,5372,3260,3477
ENSRNOG00000001270,69,63,102,965,684,1056,1003,680,954
ENSRNOG00000001271,521,530,494,681,536,771,1043,630,671
ENSRNOG00000001272,927,850,774,1345,1307,1342,1917,1088,1154
ENSRNOG00000001273,250,196,234,195,204,198,323,166,197
ENSRNOG00000001274,1175,893,931,892,944,1043,1427,937,940
ENSRNOG00000001275,1,0,0,1,0,0,2,0,1
ENSRNOG00000001276,1205,1410,1056,683,720,823,958,721,701
ENSRNOG00000001277,13894,9730,10491,5106,4847,6490,4127,5210,5585
ENSRNOG00000001278,278,220,180,443,363,433,689,371,344
ENSRNOG00000001283,1199,1162,1062,966,742,1065,1361,827,981
ENSRNOG00000001284,3,3,1,0,0,0,0,0,0
ENSRNOG00000001285,118078,182700,106189,65554,111385,128373,67864,82294,97287
ENSRNOG00000001287,49,65,20,16,3,5,14,2,4
ENSRNOG00000001288,1020,3138,1914,228,146,214,144,165,164
ENSRNOG00000001289,321,526,463,174,139,198,255,176,141
ENSRNOG00000001293,1976,1805,1773,1727,2059,2269,2407,1772,2001
ENSRNOG00000001294,315,423,325,182,227,248,290,230,204
ENSRNOG00000001295,16,20,17,16,11,15,18,13,16
ENSRNOG00000001296,11,18,9,2,4,3,1,1,1
ENSRNOG00000001297,83,70,75,401,351,473,630,332,415
ENSRNOG00000001298,0,0,0,0,0,0,0,0,0
ENSRNOG00000001299,500,714,536,468,526,598,917,568,604
ENSRNOG00000001300,135,160,90,193,306,333,400,389,276
ENSRNOG00000001302,1055,773,884,1506,1120,1796,3222,1267,1173
ENSRNOG00000001303,1479,1463,1218,2230,1892,2410,2618,1739,1956
ENSRNOG00000001304,4654,3855,8480,1438,1944,8775,2923,2799,9860
ENSRNOG00000001309,273,581,423,175,202,241,342,137,164
ENSRNOG00000001311,0,0,0,1,0,0,0,1,1
ENSRNOG00000001312,2420,2000,2732,1721,1844,3821,3549,2541,2497
ENSRNOG00000001313,1,10,6,2,5,4,1,0,0
ENSRNOG00000001314,656,845,677,589,790,991,665,650,864
ENSRNOG00000001315,1,4,3,0,0,0,0,0,0
ENSRNOG00000001316,4629,5075,3906,4451,5893,5805,6412,5622,5147
ENSRNOG00000001317,658,634,557,562,516,587,745,457,434
ENSRNOG00000001323,124,172,110,57,46,62,112,53,56
ENSRNOG00000001324,22,14,23,12,5,8,13,2,6
ENSRNOG00000001325,103,57,107,229,148,252,344,213,154
ENSRNOG00000001329,0,0,0,0,0,0,0,3,0
ENSRNOG00000001331,668,490,573,394,354,455,613,366,353
ENSRNOG00000001333,0,0,0,0,0,0,0,0,0
ENSRNOG00000001335,295,366,320,190,149,217,231,149,155
ENSRNOG00000001336,1494,1327,1466,1113,1280,1693,1359,1184,1266
ENSRNOG00000001337,520,760,588,484,611,765,798,476,566
ENSRNOG00000001338,129,104,69,60,66,33,58,41,37
ENSRNOG00000001339,966,789,791,966,890,1053,1368,810,830
ENSRNOG00000001341,4,16,9,12,6,9,21,11,17
ENSRNOG00000001342,146,125,196,50,20,45,38,32,36
ENSRNOG00000001344,14424,11889,8671,8915,9649,8288,9472,8896,7065
ENSRNOG00000001345,848,820,709,1230,1163,1291,1874,1164,1201
ENSRNOG00000001346,1380,1283,1098,1454,1684,1741,2346,1560,1536
ENSRNOG00000001347,93,74,60,116,98,104,119,97,86
ENSRNOG00000001348,625,467,392,564,523,556,795,622,576
ENSRNOG00000001349,551,393,454,858,869,1117,1514,995,968
ENSRNOG00000001350,1603,1942,1539,1557,1695,2146,2299,1555,1930
ENSRNOG00000001351,21773,19267,15693,7048,11244,14099,12620,12395,10181
ENSRNOG00000001352,594,387,424,499,531,568,813,412,465
ENSRNOG00000001353,423,369,422,299,267,404,488,282,302
ENSRNOG00000001355,355,461,323,407,498,610,842,608,520
ENSRNOG00000001357,26,35,18,29,42,56,90,60,52
ENSRNOG00000001360,3,0,2,1,2,2,2,3,3
ENSRNOG00000001367,23,21,23,84,90,107,179,105,87
ENSRNOG00000001368,4,2,2,0,0,0,1,2,2
ENSRNOG00000001369,1243,1624,1197,26,186,348,306,522,187
ENSRNOG00000001374,1,5,9,0,2,2,9,2,0
ENSRNOG00000001375,4,1,3,8,3,14,19,7,14
ENSRNOG00000001376,145,113,119,191,165,161,359,197,184
ENSRNOG00000001377,1385,1172,1187,3026,2877,3343,4102,2534,2620
ENSRNOG00000001378,1043,321,562,0,8,0,0,2,2
ENSRNOG00000001379,3,5,9,1,0,0,0,0,0
ENSRNOG00000001383,84,173,107,571,442,588,1058,512,564
ENSRNOG00000001385,839,947,756,991,1081,1297,2057,1202,1210
ENSRNOG00000001387,2,1,2,3,1,2,0,3,1
ENSRNOG00000001388,1,1,2,1,0,1,0,0,0
ENSRNOG00000001389,119,39,70,19,7,18,21,13,17
ENSRNOG00000001391,4,5,9,18,13,12,24,9,16
ENSRNOG00000001392,0,0,0,0,0,0,2,0,0
ENSRNOG00000001396,126,125,120,353,260,380,540,323,327
ENSRNOG00000001397,1019,891,881,922,968,1158,1462,1014,995
ENSRNOG00000001399,259,450,213,115,146,179,190,173,94
ENSRNOG00000001402,592,456,366,746,739,953,1216,773,750
ENSRNOG00000001404,938,1331,1048,499,611,738,771,693,647
ENSRNOG00000001407,21,17,7,0,0,2,1,1,3
ENSRNOG00000001408,0,0,0,0,0,0,0,0,0
ENSRNOG00000001409,1810,1560,1520,3765,3457,4501,6421,4154,4219
ENSRNOG00000001410,708,636,690,856,829,906,1585,826,854
ENSRNOG00000001412,0,1,1,0,0,0,0,0,0
ENSRNOG00000001414,14927,24378,18593,12554,21449,19219,36127,21546,14369
ENSRNOG00000001415,220,292,208,275,381,487,641,585,563
ENSRNOG00000001416,252,312,547,18,39,43,29,46,28
ENSRNOG00000001417,415,657,544,1060,866,1303,1849,1187,1378
ENSRNOG00000001418,526,426,428,479,448,528,566,449,487
ENSRNOG00000001419,29,18,20,122,58,71,137,73,98
ENSRNOG00000001420,1799,1567,1132,1726,1831,1695,2356,1805,1422
ENSRNOG00000001422,4,9,10,1,6,3,1,6,3
ENSRNOG00000001424,206,142,170,190,139,191,214,139,175
ENSRNOG00000001425,618,592,516,425,369,562,790,370,443
ENSRNOG00000001426,1315,1310,1360,983,914,1304,1171,1011,1029
ENSRNOG00000001427,400,248,377,221,178,252,302,188,216
ENSRNOG00000001428,75,95,87,184,166,204,309,172,201
ENSRNOG00000001429,305,234,313,1348,899,1413,2170,858,1176
ENSRNOG00000001430,705,494,513,638,617,621,1049,633,538
ENSRNOG00000001431,295,507,237,827,571,786,774,546,503
ENSRNOG00000001432,1328,1193,1631,668,707,1044,1299,794,764
ENSRNOG00000001434,0,1,0,0,0,0,1,5,0
ENSRNOG00000001435,56,43,39,28,39,47,42,58,43
ENSRNOG00000001436,5677,6754,5260,5476,6460,8616,7213,6563,7203
ENSRNOG00000001439,9,2,3,7,1,8,7,2,4
ENSRNOG00000001440,30705,32153,24790,19846,27812,24051,22994,23673,22039
ENSRNOG00000001441,2316,3504,3288,1455,1536,1958,1613,1313,1773
ENSRNOG00000001442,5942,5943,5098,5400,4477,6028,5406,4316,5217
ENSRNOG00000001443,287,477,301,236,370,456,572,481,385
ENSRNOG00000001444,0,0,0,0,0,0,0,0,0
ENSRNOG00000001448,795,926,793,935,854,1304,1613,960,1194
ENSRNOG00000001449,1659,1205,1395,1801,1591,2241,2791,1542,1696
ENSRNOG00000001450,196,249,294,278,329,409,543,324,351
ENSRNOG00000001451,5,11,5,5,7,8,9,8,10
ENSRNOG00000001452,94,265,267,55,84,86,56,65,54
ENSRNOG00000001453,4341,3095,2992,1915,1672,2091,2735,1804,1891
ENSRNOG00000001454,8783,6834,7067,6383,5885,7609,9228,6484,6696
ENSRNOG00000001455,2095,2008,1660,1458,1684,1948,2194,1323,1686
ENSRNOG00000001456,2189,2429,2339,2146,2161,2628,2776,1950,2456
ENSRNOG00000001457,109,103,72,222,229,303,465,284,230
ENSRNOG00000001465,163,219,163,257,253,305,576,209,285
ENSRNOG00000001466,2,0,0,0,0,0,0,0,0
ENSRNOG00000001469,175,502,326,93,62,194,71,67,92
ENSRNOG00000001470,315,188,198,403,387,440,731,398,459
ENSRNOG00000001474,0,0,0,1,0,0,0,0,0
ENSRNOG00000001476,0,0,2,0,0,2,1,2,1
ENSRNOG00000001478,177,254,185,158,160,186,344,205,224
ENSRNOG00000001479,2095,2935,2039,1722,1827,2438,3371,2182,2090
ENSRNOG00000001480,2543,1598,1503,1122,674,1072,1941,1030,952
ENSRNOG00000001482,350,286,228,262,234,301,450,266,251
ENSRNOG00000001483,654,548,457,886,796,842,1056,747,683
ENSRNOG00000001484,4,28,4,12,10,6,26,18,14
ENSRNOG00000001488,3430,2667,2289,4452,4415,4449,5931,3884,3773
ENSRNOG00000001489,119,139,140,161,136,227,341,203,205
ENSRNOG00000001490,373,369,357,480,519,601,757,536,502
ENSRNOG00000001492,170,57,97,20,22,27,18,14,14
ENSRNOG00000001493,303,316,241,284,311,350,436,303,289
ENSRNOG00000001494,3208,2807,2593,1693,1832,1961,2453,1805,1734
ENSRNOG00000001499,59,42,52,12,3,5,18,8,5
ENSRNOG00000001500,425,325,376,610,832,907,1242,821,750
ENSRNOG00000001501,234,225,243,616,613,803,978,682,710
ENSRNOG00000001506,0,0,4,3,0,1,0,0,0
ENSRNOG00000001510,0,3,0,0,3,2,1,3,2
ENSRNOG00000001512,0,0,0,0,0,0,0,0,0
ENSRNOG00000001514,63,35,33,66,84,143,207,123,127
ENSRNOG00000001515,272,343,251,235,172,247,269,217,255
ENSRNOG00000001516,1820,1191,536,961,654,624,978,590,402
ENSRNOG00000001517,2795,4190,2613,1961,2909,2599,1977,2402,2030
ENSRNOG00000001518,1932,1535,1121,1200,1180,1877,1244,1001,1754
ENSRNOG00000001519,0,0,0,0,0,0,0,0,0
ENSRNOG00000001520,10,4,8,7,5,4,12,5,6
ENSRNOG00000001524,866,814,700,783,783,808,1026,688,703
ENSRNOG00000001525,27,25,10,13,13,25,18,6,10
ENSRNOG00000001527,4,13,5,9,28,22,21,12,12
ENSRNOG00000001528,68,52,61,21,15,18,22,19,33
ENSRNOG00000001531,93,96,118,78,52,71,123,70,70
ENSRNOG00000001544,141,68,49,215,97,101,344,120,133
ENSRNOG00000001547,215,164,145,220,193,270,315,216,248
ENSRNOG00000001548,16336,11863,12507,5773,4831,5746,6518,4416,4632
ENSRNOG00000001551,8386,6368,5401,7947,8473,7379,10440,7427,6664
ENSRNOG00000001554,251,147,209,140,93,155,161,87,114
ENSRNOG00000001555,451,247,433,645,471,518,836,516,529
ENSRNOG00000001557,425,629,425,481,1074,903,520,833,1027
ENSRNOG00000001559,671,934,716,849,1132,1257,1430,1049,935
ENSRNOG00000001566,0,0,0,0,0,0,0,0,0
ENSRNOG00000001567,0,0,0,0,0,0,0,0,0
ENSRNOG00000001570,0,0,0,0,0,0,0,0,0
ENSRNOG00000001571,0,0,0,0,0,0,0,0,0
ENSRNOG00000001572,0,0,0,0,0,0,2,0,0
ENSRNOG00000001573,2043,2520,1784,723,995,1597,1163,1061,1269
ENSRNOG00000001575,0,1,2,1,0,0,0,0,1
ENSRNOG00000001577,2,6,2,0,0,0,0,0,0
ENSRNOG00000001578,0,1,0,0,0,2,0,0,0
ENSRNOG00000001580,0,1,0,0,0,0,0,0,0
ENSRNOG00000001581,0,0,1,0,2,0,0,0,0
ENSRNOG00000001582,427,237,278,478,380,449,487,354,453
ENSRNOG00000001584,11,5,5,23,29,28,33,29,15
ENSRNOG00000001585,927,1257,1147,1069,995,1250,1802,744,1066
ENSRNOG00000001587,0,0,0,0,0,0,0,0,0
ENSRNOG00000001588,0,0,0,0,0,0,0,0,1
ENSRNOG00000001589,0,0,0,0,0,0,0,0,0
ENSRNOG00000001592,1568,1518,1115,4384,4829,4965,6599,4473,4508
ENSRNOG00000001593,204,217,174,344,329,342,414,338,308
ENSRNOG00000001596,29938,25451,22461,26952,29142,26149,30773,24205,23746
ENSRNOG00000001597,615,409,505,605,515,657,765,467,579
